LOCATION,SUBJECT,TIME,KG_CAP,THND_TONNE
ARG,BEEF,1990,55.37,2588.922
ARG,BEEF,1991,51.638,2448.667
ARG,BEEF,1992,50.789,2441.882
ARG,BEEF,1993,51.465,2507.867
ARG,BEEF,1994,48.375,2388.224
ARG,BEEF,1995,43.485,2173.938
ARG,BEEF,1996,44.002,2226.499
ARG,BEEF,1997,44.639,2285.148
ARG,BEEF,1998,41.429,2144.908
ARG,BEEF,1999,45.534,2383.908
ARG,BEEF,2000,45.054,2385.107
ARG,BEEF,2001,43.758,2342.406
ARG,BEEF,2002,40.283,2180.404
ARG,BEEF,2003,41.622,2277.857
ARG,BEEF,2004,43.502,2406.804
ARG,BEEF,2005,42.644,2384.758
ARG,BEEF,2006,43.79,2474.66
ARG,BEEF,2007,47.076,2688.04
ARG,BEEF,2008,46.917,2706.544
ARG,BEEF,2009,46.703,2722.017
ARG,BEEF,2010,39.449,2323.126
ARG,BEEF,2011,37.862,2253.107
ARG,BEEF,2012,40.225,2418.998
ARG,BEEF,2013,43.228,2626.92
ARG,BEEF,2014,40.354,2477.756
ARG,BEEF,2015,40.77,2528.688
ARG,BEEF,2016,38.586,2417.0
ARG,BEEF,2017,41.244,2608.531
ARG,BEEF,2018,40.854,2608.317
ARG,BEEF,2019,40.106,2584.342
ARG,BEEF,2020,39.744,2584.313
ARG,BEEF,2021,39.439,2587.349
ARG,BEEF,2022,38.443,2544.058
ARG,BEEF,2023,38.017,2537.404
ARG,BEEF,2024,37.574,2528.883
ARG,BEEF,2025,37.672,2556.277
ARG,BEEF,2026,37.691,2578.177
ARG,PIG,1990,3.661,153.631
ARG,PIG,1991,3.599,153.161
ARG,PIG,1992,4.47,192.864
ARG,PIG,1993,4.831,211.257
ARG,PIG,1994,4.815,213.326
ARG,PIG,1995,5.062,227.095
ARG,PIG,1996,4.865,220.9
ARG,PIG,1997,4.723,217.0
ARG,PIG,1998,5.448,253.12
ARG,PIG,1999,6.118,287.452
ARG,PIG,2000,5.959,283.104
ARG,PIG,2001,4.758,228.557
ARG,PIG,2002,4.42,214.715
ARG,PIG,2003,3.928,192.947
ARG,PIG,2004,4.229,209.955
ARG,PIG,2005,4.794,240.605
ARG,PIG,2006,5.89,298.71
ARG,PIG,2007,6.001,307.536
ARG,PIG,2008,5.888,304.846
ARG,PIG,2009,6.365,332.953
ARG,PIG,2010,6.275,331.633
ARG,PIG,2011,6.529,348.663
ARG,PIG,2012,6.582,355.2
ARG,PIG,2013,7.816,426.242
ARG,PIG,2014,7.962,438.752
ARG,PIG,2015,8.505,473.404
ARG,PIG,2016,8.795,494.4
ARG,PIG,2017,8.809,499.993
ARG,PIG,2018,8.832,506.029
ARG,PIG,2019,8.919,515.746
ARG,PIG,2020,8.976,523.767
ARG,PIG,2021,9.006,530.219
ARG,PIG,2022,9.037,536.711
ARG,PIG,2023,9.091,544.55
ARG,PIG,2024,9.142,552.207
ARG,PIG,2025,9.174,558.691
ARG,PIG,2026,9.217,565.84
ARG,POULTRY,1990,9.083,337.82
ARG,POULTRY,1991,10.42,393.04
ARG,POULTRY,1992,15.325,586.1
ARG,POULTRY,1993,18.42,714.0
ARG,POULTRY,1994,18.502,726.595
ARG,POULTRY,1995,20.198,803.219
ARG,POULTRY,1996,19.133,770.086
ARG,POULTRY,1997,19.93,811.557
ARG,POULTRY,1998,23.185,954.822
ARG,POULTRY,1999,23.042,959.578
ARG,POULTRY,2000,22.153,932.888
ARG,POULTRY,2001,15.51,660.455
ARG,POULTRY,2002,16.205,697.745
ARG,POULTRY,2003,18.978,826.192
ARG,POULTRY,2004,21.236,934.603
ARG,POULTRY,2005,24.319,1081.786
ARG,POULTRY,2006,25.322,1138.32
ARG,POULTRY,2007,27.618,1254.41
ARG,POULTRY,2008,29.179,1338.958
ARG,POULTRY,2009,30.163,1398.41
ARG,POULTRY,2010,33.744,1580.719
ARG,POULTRY,2011,34.811,1647.792
ARG,POULTRY,2012,33.01,1579.03
ARG,POULTRY,2013,32.438,1568.033
ARG,POULTRY,2014,33.194,1621.21
ARG,POULTRY,2015,37.856,1867.7
ARG,POULTRY,2016,37.509,1868.956
ARG,POULTRY,2017,37.508,1887.0
ARG,POULTRY,2018,37.499,1904.412
ARG,POULTRY,2019,37.54,1924.191
ARG,POULTRY,2020,37.747,1952.399
ARG,POULTRY,2021,37.924,1979.083
ARG,POULTRY,2022,38.088,2005.0
ARG,POULTRY,2023,38.047,2020.0
ARG,POULTRY,2024,38.011,2035.0
ARG,POULTRY,2025,37.979,2050.0
ARG,POULTRY,2026,37.951,2065.0
ARG,SHEEP,1991,2.339,88.221
ARG,SHEEP,1992,1.886,72.145
ARG,SHEEP,1993,1.861,72.12
ARG,SHEEP,1994,2.363,92.781
ARG,SHEEP,1995,2.222,88.377
ARG,SHEEP,1996,1.779,71.589
ARG,SHEEP,1997,1.617,65.846
ARG,SHEEP,1998,1.414,58.253
ARG,SHEEP,1999,1.329,55.358
ARG,SHEEP,2000,1.405,59.166
ARG,SHEEP,2001,1.388,59.088
ARG,SHEEP,2002,1.356,58.38
ARG,SHEEP,2003,1.302,56.664
ARG,SHEEP,2004,1.251,55.057
ARG,SHEEP,2005,1.178,52.382
ARG,SHEEP,2006,1.14,51.266
ARG,SHEEP,2007,1.17,53.162
ARG,SHEEP,2008,1.093,50.15
ARG,SHEEP,2009,1.039,48.15
ARG,SHEEP,2010,1.028,48.154
ARG,SHEEP,2011,1.081,51.154
ARG,SHEEP,2012,1.174,56.154
ARG,SHEEP,2013,1.182,57.154
ARG,SHEEP,2014,1.17,57.154
ARG,SHEEP,2015,1.199,59.154
ARG,SHEEP,2016,1.207,60.154
ARG,SHEEP,2017,1.195,60.117
ARG,SHEEP,2018,1.195,60.697
ARG,SHEEP,2019,1.2,61.496
ARG,SHEEP,2020,1.2,62.089
ARG,SHEEP,2021,1.198,62.527
ARG,SHEEP,2022,1.196,62.977
ARG,SHEEP,2023,1.196,63.514
ARG,SHEEP,2024,1.197,64.109
ARG,SHEEP,2025,1.198,64.658
ARG,SHEEP,2026,1.196,65.091
AUS,BEEF,1991,27.722,686.147
AUS,BEEF,1992,26.2,656.427
AUS,BEEF,1993,26.169,663.141
AUS,BEEF,1994,25.456,652.121
AUS,BEEF,1995,25.34,656.123
AUS,BEEF,1996,27.259,713.345
AUS,BEEF,1997,28.803,761.754
AUS,BEEF,1998,26.59,710.694
AUS,BEEF,1999,27.918,754.07
AUS,BEEF,2000,26.355,719.378
AUS,BEEF,2001,24.46,674.71
AUS,BEEF,2002,25.116,700.181
